Package,File Name,Application Name,Generic Name
calibre,calibre-lrfviewer.desktop,LRF viewer,Viewer for LRF files
calligra-data,calligra.desktop,Calligra,
calligra-gemini,org.kde.calligragemini.desktop,Calligra Gemini,Word Processing and Presentation
calligraplan,org.kde.calligraplan.desktop,Plan,Project Management
calligraplan,org.kde.calligraplanwork.desktop,Plan WorkPackage Handler,Project Management
calligrasheets,org.kde.calligrasheets.desktop,Calligra Sheets,Spreadsheet
calligrastage,org.kde.calligrastage.desktop,Calligra Stage,Presentation
calligrawords,org.kde.calligrawords.desktop,Calligra Words,Word Processor
calligrawords,org.kde.calligrawords_ascii.desktop,Calligra Words,
camera.app,Camera.desktop,Camera,
camitk-imp,camitk-imp.desktop,CamiTK imp,Computer Assisted Medical Intervention ToolKit Workbench
caneda,caneda.desktop,Caneda,EDA Suite
cantata,cantata.desktop,Cantata,Music Player Client
cantor,org.kde.cantor.desktop,Cantor,Frontend to Mathematical Software
cardpeek,cardpeek.desktop,Cardpeek,
carmetal,carmetal.desktop,CaRMetal,
cataclysm-dda-sdl,cataclysm-dda.desktop,Cataclysm: Dark Days Ahead,Post-apocalyptic roguelike
catfish,org.xfce.Catfish.desktop,Catfish File Search,File search
caveexpress,caveexpress.desktop,CaveExpress,CaveExpress
cavepacker,cavepacker.desktop,CavePacker,CavePacker
cb2bib,c2bciter.desktop,c2bCiter,Reference Citation Tool
cb2bib,c2bimport.desktop,c2bImport,cb2Bib Import Reference
cb2bib,cb2bib.desktop,cb2Bib,Bibliographic Reference Tool
cecilia,cecilia.desktop,Cecilia,Sound synth and signal processor
ceferino,ceferino.desktop,Ceferino,ceferino
celluloid,io.github.celluloid_player.Celluloid.desktop,Celluloid,Multimedia Player
cellwriter,cellwriter.desktop,CellWriter,Handwriting input panel
cen64-qt,cen64-qt.desktop,CEN64-Qt,CEN64 Frontend
ceni,ceni.desktop,Ceni,Network card configuration
cenon.app,Cenon.desktop,Cenon,
cervisia,org.kde.cervisia.desktop,Cervisia,CVS Frontend
cgoban,cgoban.desktop,Cgoban,
charmap.app,Charmap.desktop,Charmap,
charmtimetracker,charmtimetracker.desktop,Charm,Time Tracker
chatty,sm.puri.Chatty.desktop,Chats,
cheese,org.gnome.Cheese.desktop,Cheese,Webcam Booth
cheesecutter,ccutter.desktop,CheeseCutter,
chemtool,chemtool.desktop,Chemtool,
cherrytree,cherrytree.desktop,CherryTree,
chessx,chessx.desktop,ChessX,Chess Game
chewing-editor,chewing-editor.desktop,Chewing Editor,
chiaki,chiaki.desktop,Chiaki,
chirp,chirp.desktop,CHIRP,Radio Programming Tool
chocolate-doom,chocolate-doom-screensaver.desktop,Chocolate Doom,
chocolate-doom,chocolate-doom.desktop,Chocolate Doom,
chocolate-doom,chocolate-heretic.desktop,Chocolate Heretic,
chocolate-doom,chocolate-hexen.desktop,Chocolate Hexen,
chocolate-doom,chocolate-setup.desktop,Chocolate Setup,
chocolate-doom,chocolate-strife.desktop,Chocolate Strife,
choqok,org.kde.choqok.desktop,Choqok,Micro-blogging Client
chrome-gnome-shell,org.gnome.ChromeGnomeShell.desktop,GNOME Shell integration,
chromium,chromium.desktop,Chromium Web Browser,Web Browser
chromium-bsu,chromium-bsu.desktop,Chromium B.S.U.,Shoot'em up space shooter
cinnamon,cinnamon-killer-daemon.desktop,Cinnamon Killer Daemon,
cinnamon,cinnamon-menu-editor.desktop,Cinnamon Menu Editor,
cinnamon,cinnamon-onscreen-keyboard.desktop,Virtual keyboard,
