POLICY,TYPE,PACKAGE,PATH,NOTES
SHOULD NOT,gpu?,firmware-nvidia-tesla-gsp,"/lib/firmware/nvidia/525.125.06/gsp_tu10x.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/acr/ucode_ahesasc.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/acr/ucode_asb.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/acr/ucode_unload.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/gr/NET_img.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/nvdec/scrubber.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/sec2/desc.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/sec2/hs_bl_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/sec2/image.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga102/sec2/sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga103/gr/NET_img.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga103/gr/fecs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga103/gr/fecs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga103/gr/gpccs_bl.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga103/gr/gpccs_sig.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga104/gr/NET_img.bin",
SHOULD NOT,gpu?,firmware-misc-nonfree,"/lib/firmware/nvidia/ga104/gr/fecs_bl.bin",
