  Size Package
8.3MiB wolf4sdl
8.3MiB netpanzer-data
8.3MiB wordwarvi-sound
8.3MiB vor
8.3MiB burgerspace
8.2MiB amoebax-data
8.2MiB tanglet
8.2MiB dodgindiamond2
8.2MiB scid
8.2MiB pinball-table-gnu-data
8.2MiB reminiscence
8.1MiB icebreaker
8.0MiB mrboom
8.0MiB noiz2sa-data
8.0MiB tomatoes-data
7.9MiB mirrormagic
7.8MiB quake
7.8MiB minetest-server
7.8MiB kildclient
7.7MiB scid-data
7.7MiB mazeofgalious-data
7.7MiB quake-server
7.7MiB ogamesim-www
7.6MiB tanglet-data
7.6MiB prboom-plus
7.6MiB crawl-tiles-data
7.5MiB teeworlds-server
7.5MiB crrcsim
7.5MiB cube2
7.4MiB quake2
7.4MiB opencity-data
7.3MiB teeworlds-data
7.3MiB chocolate-doom
7.3MiB xjig
7.1MiB crispy-doom
7.1MiB bomberclone-data
7.1MiB xracer-tools
7.1MiB cowsay-off
7.1MiB cowsay
6.9MiB aisleriot
6.9MiB kball
6.9MiB dreamchess-data
6.9MiB rtcw-server
6.8MiB freespace2-launcher-wxlauncher
6.7MiB adonthell
6.6MiB gnubg-data
6.6MiB scummvm-tools
6.6MiB rtcw-common
6.6MiB quake3-server
6.5MiB sdlfrotz
6.4MiB quake2-server
6.2MiB freetennis-common
6.2MiB kball-data
6.0MiB freespace2
6.0MiB berusky
5.9MiB game-data-packager
5.9MiB etw
5.9MiB performous
5.8MiB rafkill
5.7MiB alephone
5.7MiB rbdoom3bfg
5.7MiB kdegames-card-data-kf5
5.6MiB openssn-data
5.6MiB crawl
5.6MiB freedink-dfarc
5.6MiB desmume
5.5MiB openyahtzee
5.5MiB lolcat
5.5MiB dustracing2d
5.5MiB openttd
5.4MiB gnubik
5.4MiB torus-trooper-data
5.4MiB 2048-qt
5.2MiB alienblaster-data
5.2MiB allure
5.1MiB minetest-data
5.1MiB crrcsim-data
5.1MiB lambdahack
5.1MiB xbubble
5.0MiB hollywood
5.0MiB rafkill-data
5.0MiB xbubble-data
5.0MiB atanks
4.9MiB freedroid-data
4.9MiB gearhead-sdl
4.8MiB pekka-kana-2-data
4.8MiB cavepacker-data
4.8MiB gamine-data
4.8MiB mednaffe
4.8MiB berusky-data
4.8MiB etw-data
4.7MiB mu-cade-data
4.7MiB zec
4.7MiB gunroar-data
4.6MiB mednafen
4.6MiB tenace
4.6MiB dhewm3-d3xp
4.5MiB opentyrian
4.5MiB spacezero
4.5MiB chessx
4.4MiB gnome-taquin
4.3MiB atanks-data
4.3MiB xblast-tnt-musics
4.3MiB gnome-games-app
4.2MiB gnome-cards-data
4.2MiB pinball-data
4.2MiB titanion-data
4.2MiB gltron
4.1MiB tumiki-fighters-data
4.0MiB stormbaancoureur
4.0MiB bumprace-data
3.9MiB parsec47-data
3.9MiB dustracing2d-data
3.9MiB liblizzie-java
3.8MiB jigzo-data
3.8MiB gearhead
3.7MiB orbital-eunuchs-sniper-data
3.7MiB brutalchess
3.7MiB residualvm
3.6MiB pioneers
3.6MiB slashem-sdl
3.5MiB liquidwar
3.5MiB rrootage-data
3.5MiB dhewm3-doom3
3.5MiB crossfire-common
3.4MiB gearhead-data
3.3MiB a7xpg-data
3.3MiB spring-common
3.3MiB chromium-bsu
3.3MiB hannah-data
3.3MiB qonk
3.3MiB scid-rating-data
3.3MiB cuyo-data
