year of latest upload (to sid),source package (in bookworm)
2018,libdynapath-clojure
2018,libee
2018,libeot
2018,libepc
2018,libepubgen
2018,libfax-hylafax-client-perl
2018,libfcgi-client-perl
2018,libfile-dircompare-perl
2018,libgarmin
2018,libgdamm5.0
2018,libgdchart-gd2
2018,libgearman-client-perl
2018,libgit-objectstore-perl
2018,libglademm2.4
2018,libgltf
2018,libgoogle-protocolbuffers-perl
2018,libgtksourceviewmm
2018,libhbalinux
2018,libhtml-mason-psgihandler-perl
2018,libhtml-tableparser-perl
2018,libhtml-wikiconverter-phpwiki-perl
2018,libhtml-wikiconverter-snipsnap-perl
2018,libhtml-wikiconverter-tikiwiki-perl
2018,libhtml-wikiconverter-wakkawiki-perl
2018,libhttp-exception-perl
2018,libidna-punycode-perl
2018,libio-file-withpath-perl
2018,libitext1-java
2018,libj2ssh-java
2018,libjaxen-java
2018,libjdo-api-java
2018,libjgoodies-animation-java
2018,libjgoodies-binding-java
2018,libjgoodies-looks-java
2018,libjibx1.2-java
2018,libjlatexmath-java
2018,libjpedal-jbig2-java
2018,libjs-autolink
2018,libjs-emojify
2018,libkeepalive
2018,liblexical-persistence-perl
2018,liblingua-en-inflect-phrase-perl
2018,liblingua-en-nameparse-perl
2018,liblocale-msgfmt-perl
2018,liblocale-po-perl
2018,liblog-message-simple-perl
2018,liblqr
2018,libmath-sparsevector-perl
2018,libmms
2018,libmodule-install-trustmetayml-perl
2018,libmoe
2018,libmojolicious-plugin-cgi-perl
2018,libmongo-client
2018,libmonitoring-livestatus-class-perl
2018,libmonitoring-plugin-perl
2018,libmoosex-blessed-reconstruct-perl
2018,libmoosex-poe-perl
2018,libmozilla-ldap-perl
2018,libmysql-diff-perl
2018,libnative-platform-java
2018,libnet-citadel-perl
2018,libnet-gmail-imap-label-perl
2018,libnet-imap-simple-perl
2018,libnet-scp-perl
2018,libnet-server-coro-perl
2018,libnet-smtp-tls-butmaintained-perl
2018,libnetx-java
2018,libobject-event-perl
2018,libobject-signature-perl
2018,libobject-tiny-perl
2018,liboggplay
2018,liboobs
2018,libpagemaker
2018,libparallel-forkmanager-perl
2018,libperl-version-perl
2018,libplack-middleware-deflater-perl
2018,libpod-readme-perl
2018,libpoe-component-pool-thread-perl
2018,libpoe-component-resolver-perl
2018,libpoe-component-schedule-perl
2018,libpoe-filter-ircd-perl
2018,libprotocol-osc-perl
2018,libpulse-java
2018,libqxp
2018,libregexp-ipv6-perl
2018,libregexp-java
2018,librole-rest-client-perl
2018,libsafe-isa-perl
2018,libsdl-console
2018,libsharyanto-string-util-perl
2018,libshell-guess-perl
2018,libsmi
2018,libspiffy-perl
2018,libstax-java
2018,libstax2-api-java
2018,libstring-format-perl
2018,libswingx-java
2018,libtablelayout-java
2018,libtemplate-perl
2018,libtemplate-plugin-html-strip-perl
2018,libtest-cleannamespaces-perl
2018,libtest-notabs-perl
2018,libtest-yaml-perl
2018,libtext-simpletable-perl
2018,libtie-array-iterable-perl
2018,libtie-encryptedhash-perl
2018,libtins
2018,libtools-macro-clojure
2018,libtruth-java
2018,libui-dialog-perl
2018,libvcs-lite-perl
2018,libvidstab
2018,libwnck
2018,libws-commons-util-java
2018,libwww-robotrules-perl
2018,libxbean-java
2018,libxdg-basedir
2018,libxml++2.6
2018,libxml-compile-cache-perl
2018,libxml-feedpp-perl
2018,libxml-filter-sort-perl
2018,libxml-parser-lite-perl
2018,libxml-rss-simplegen-perl
2018,libxml-xslt-perl
2018,libxpp3-java
2018,libxshmfence
2018,libxss
2018,lie
2018,lief
2018,lightdm-remote-session-freerdp2
2018,lightdm-remote-session-x2go
2018,lirc-compat-remotes
2018,listadmin
2018,livetribe-jsr223
2018,lm4tools
2018,lmarbles
2018,lpc21isp
2018,lphdisk
2018,lrzsz
2018,lsyncd
2018,lua-curses
2018,lua-nginx-dns
2018,lua-nginx-string
2018,lua-systemd
2018,lwn4chrome
2018,m17n-im-config
2018,macchanger
2018,macfanctld
2018,magicmaze
2018,mairix
2018,mason
2018,maven-bundle-plugin
2018,mavibot
2018,mbr
2018,mbrola-af1
2018,mbrola-ar1
2018,mbrola-ar2
2018,mbrola-br1
2018,mbrola-br2
2018,mbrola-br3
2018,mbrola-br4
2018,mbrola-bz1
2018,mbrola-ca1
2018,mbrola-ca2
2018,mbrola-cn1
2018,mbrola-cr1
2018,mbrola-cz1
2018,mbrola-cz2
2018,mbrola-de1
2018,mbrola-de2
2018,mbrola-de3
2018,mbrola-de4
2018,mbrola-de5
2018,mbrola-de6
2018,mbrola-de7
2018,mbrola-de8
2018,mbrola-ee1
2018,mbrola-en1
2018,mbrola-es1
2018,mbrola-es2
2018,mbrola-es3
2018,mbrola-es4
2018,mbrola-fr1
2018,mbrola-fr2
2018,mbrola-fr3
2018,mbrola-fr4
2018,mbrola-fr5
2018,mbrola-fr6
2018,mbrola-fr7
2018,mbrola-gr1
2018,mbrola-gr2
2018,mbrola-hb1
2018,mbrola-hb2
2018,mbrola-hn1
2018,mbrola-hu1
2018,mbrola-ic1
2018,mbrola-id1
2018,mbrola-in1
